DATE,US115NIM
1984-01-01,3.72
1984-04-01,3.84
1984-07-01,3.91
1984-10-01,3.97
1985-01-01,3.92
1985-04-01,4.01
1985-07-01,4.03
1985-10-01,4.06
1986-01-01,4.04
1986-04-01,4.05
1986-07-01,4.05
1986-10-01,3.99
1987-01-01,4.18
1987-04-01,4.17
1987-07-01,4.27
1987-10-01,4.34
1988-01-01,4.33
1988-04-01,4.32
1988-07-01,4.42
1988-10-01,4.47
1989-01-01,4.48
1989-04-01,4.37
1989-07-01,4.34
1989-10-01,4.33
1990-01-01,4.26
1990-04-01,4.27
1990-07-01,4.22
1990-10-01,4.28
1991-01-01,4.34
1991-04-01,4.36
1991-07-01,4.47
1991-10-01,4.51
1992-01-01,4.63
1992-04-01,4.69
1992-07-01,4.83
1992-10-01,4.88
1993-01-01,4.81
1993-04-01,4.84
1993-07-01,4.87
1993-10-01,4.87
1994-01-01,5.35
1994-04-01,5.07
1994-07-01,5.03
1994-10-01,5
1995-01-01,4.69
1995-04-01,4.76
1995-07-01,4.76
1995-10-01,4.81
1996-01-01,4.73
1996-04-01,4.78
1996-07-01,4.81
1996-10-01,4.86
1997-01-01,4.72
1997-04-01,4.87
1997-07-01,4.94
1997-10-01,5.01
1998-01-01,4.68
1998-04-01,4.73
1998-07-01,4.87
1998-10-01,5.07
1999-01-01,4.68
1999-04-01,4.73
1999-07-01,4.77
1999-10-01,4.73
2000-01-01,4.61
2000-04-01,4.60
2000-07-01,4.61
2000-10-01,4.62
2001-01-01,4.32
2001-04-01,4.30
2001-07-01,4.35
2001-10-01,4.4
2002-01-01,4.23
2002-04-01,4.17
2002-07-01,4.13
2002-10-01,4.19
2003-01-01,3.90
2003-04-01,3.91
2003-07-01,3.92
2003-10-01,3.94
2004-01-01,3.92
2004-04-01,3.85
2004-07-01,3.86
2004-10-01,3.86
2005-01-01,3.79
2005-04-01,3.81
2005-07-01,3.83
2005-10-01,3.83
2006-01-01,3.85
2006-04-01,3.84
2006-07-01,3.95
2006-10-01,3.83
2007-01-01,3.77
2007-04-01,3.77
2007-07-01,3.84
2007-10-01,3.80
2008-01-01,3.81
2008-04-01,3.77
2008-07-01,3.85
2008-10-01,3.80
2009-01-01,3.46
2009-04-01,3.46
2009-07-01,3.49
2009-10-01,3.54
2010-01-01,3.73
2010-04-01,3.84
2010-07-01,3.87
2010-10-01,3.89
2011-01-01,3.89
2011-04-01,3.92
2011-07-01,3.94
2011-10-01,3.96
2012-01-01,3.94
2012-04-01,3.92
2012-07-01,3.91
2012-10-01,3.88
2013-01-01,3.79
2013-04-01,3.84
2013-07-01,3.91
2013-10-01,3.91
2014-01-01,3.82
2014-04-01,3.85
2014-07-01,3.87
2014-10-01,3.87
2015-01-01,3.76
2015-04-01,3.76
2015-07-01,3.81
2015-10-01,3.82
2016-01-01,3.78
2016-04-01,3.78
2016-07-01,3.78
2016-10-01,3.81
2017-01-01,3.74
2017-04-01,3.77
2017-07-01,3.77
2017-10-01,3.81
2018-01-01,3.87
2018-04-01,3.89
2018-07-01,3.91
2018-10-01,3.92
2019-01-01,3.90
