DATE,US115ROA
1984-01-01,0.75
1984-04-01,0.74
1984-07-01,0.77
1984-10-01,0.76
1985-01-01,0.79
1985-04-01,0.86
1985-07-01,0.87
1985-10-01,0.87
1986-01-01,0.72
1986-04-01,0.78
1986-07-01,0.83
1986-10-01,0.82
1987-01-01,0.88
1987-04-01,0.33
1987-07-01,0.57
1987-10-01,0.48
1988-01-01,0.78
1988-04-01,0.76
1988-07-01,0.8
1988-10-01,0.79
1989-01-01,0.99
1989-04-01,0.9
1989-07-01,0.83
1989-10-01,0.61
1990-01-01,0.66
1990-04-01,0.57
1990-07-01,0.45
1990-10-01,0.28
1991-01-01,0.55
1991-04-01,0.48
1991-07-01,0.57
1991-10-01,0.57
1992-01-01,1.01
1992-04-01,1.03
1992-07-01,1.07
1992-10-01,1.06
1993-01-01,1.20
1993-04-01,1.27
1993-07-01,1.33
1993-10-01,1.35
1994-01-01,1.4
1994-04-01,1.39
1994-07-01,1.42
1994-10-01,1.4
1995-01-01,1.36
1995-04-01,1.37
1995-07-01,1.4
1995-10-01,1.39
1996-01-01,1.35
1996-04-01,1.36
1996-07-01,1.35
1996-10-01,1.42
1997-01-01,1.39
1997-04-01,1.36
1997-07-01,1.39
1997-10-01,1.48
1998-01-01,1.71
1998-04-01,1.58
1998-07-01,1.64
1998-10-01,1.67
1999-01-01,1.79
1999-04-01,1.81
1999-07-01,1.82
1999-10-01,1.7
2000-01-01,1.5
2000-04-01,1.35
2000-07-01,1.44
2000-10-01,1.42
2001-01-01,1.42
2001-04-01,1.35
2001-07-01,1.3
2001-10-01,1.31
2002-01-01,1.44
2002-04-01,1.44
2002-07-01,1.46
2002-10-01,1.47
2003-01-01,1.36
2003-04-01,1.44
2003-07-01,1.41
2003-10-01,1.46
2004-01-01,1.43
2004-04-01,1.44
2004-07-01,1.43
2004-10-01,1.42
2005-01-01,1.40
2005-04-01,1.42
2005-07-01,1.41
2005-10-01,1.35
2006-01-01,1.25
2006-04-01,1.32
2006-07-01,1.37
2006-10-01,1.28
2007-01-01,1.22
2007-04-01,1.20
2007-07-01,1.22
2007-10-01,1.07
2008-01-01,0.76
2008-04-01,0.50
2008-07-01,0.36
2008-10-01,-0.17
2009-01-01,-0.43
2009-04-01,-0.68
2009-07-01,-0.63
2009-10-01,-0.61
2010-01-01,0.07
2010-04-01,0.15
2010-07-01,0.26
2010-10-01,0.19
2011-01-01,0.67
2011-04-01,0.74
2011-07-01,0.81
2011-10-01,0.76
2012-01-01,0.99
2012-04-01,1.23
2012-07-01,1.16
2012-10-01,1.11
2013-01-01,1.01
2013-04-01,1.06
2013-07-01,1.09
2013-10-01,1.08
2014-01-01,1.00
2014-04-01,1.00
2014-07-01,1.02
2014-10-01,1.06
2015-01-01,1.04
2015-04-01,1.12
2015-07-01,1.14
2015-10-01,1.15
2016-01-01,1.07
2016-04-01,1.08
2016-07-01,1.10
2016-10-01,1.05
2017-01-01,1.09
2017-04-01,1.18
2017-07-01,1.17
2017-10-01,1.03
2018-01-01,1.29
2018-04-01,1.31
2018-07-01,1.36
2018-10-01,1.35
2019-01-01,1.30
