DATE,USG15LLRTL
1984-01-01,1.08
1984-04-01,1.15
1984-07-01,1.16
1984-10-01,1.23
1985-01-01,1.27
1985-04-01,1.42
1985-07-01,1.47
1985-10-01,1.52
1986-01-01,1.59
1986-04-01,1.73
1986-07-01,1.8
1986-10-01,1.85
1987-01-01,1.95
1987-04-01,4.52
1987-07-01,4.49
1987-10-01,4.72
1988-01-01,4.63
1988-04-01,4.54
1988-07-01,4.19
1988-10-01,4.04
1989-01-01,3.86
1989-04-01,3.6
1989-07-01,4.65
1989-10-01,4.31
1990-01-01,4.04
1990-04-01,3.43
1990-07-01,3.37
1990-10-01,3.47
1991-01-01,3.46
1991-04-01,3.26
1991-07-01,3.21
1991-10-01,3.3
1992-01-01,3.4
1992-04-01,3.29
1992-07-01,3.24
1992-10-01,3.2
1993-01-01,3.17
1993-04-01,3.08
1993-07-01,3.03
1993-10-01,2.89
1994-01-01,2.86
1994-04-01,2.75
1994-07-01,2.7
1994-10-01,2.59
1995-01-01,2.53
1995-04-01,2.45
1995-07-01,2.32
1995-10-01,2.24
1996-01-01,2.15
1996-04-01,2.13
1996-07-01,2.1
1996-10-01,2
1997-01-01,2
1997-04-01,1.91
1997-07-01,1.89
1997-10-01,1.84
1998-01-01,1.82
1998-04-01,1.81
1998-07-01,1.79
1998-10-01,1.74
1999-01-01,1.74
1999-04-01,1.7
1999-07-01,1.71
1999-10-01,1.64
2000-01-01,1.64
2000-04-01,1.67
2000-07-01,1.65
2000-10-01,1.66
2001-01-01,1.72
2001-04-01,1.73
2001-07-01,1.83
2001-10-01,1.98
2002-01-01,2.08
2002-04-01,2.04
2002-07-01,2.03
2002-10-01,2.02
2003-01-01,1.98
2003-04-01,1.92
2003-07-01,1.85
2003-10-01,1.84
2004-01-01,1.78
2004-04-01,1.69
2004-07-01,1.62
2004-10-01,1.54
2005-01-01,1.47
2005-04-01,1.41
2005-07-01,1.37
2005-10-01,1.28
2006-01-01,1.26
2006-04-01,1.22
2006-07-01,1.19
2006-10-01,1.13
2007-01-01,1.14
2007-04-01,1.16
2007-07-01,1.19
2007-10-01,1.37
2008-01-01,1.62
2008-04-01,1.90
2008-07-01,2.16
2008-10-01,2.50
2009-01-01,2.92
2009-04-01,3.27
2009-07-01,3.53
2009-10-01,3.71
2010-01-01,4.19
2010-04-01,4.05
2010-07-01,3.89
2010-10-01,3.69
2011-01-01,3.48
2011-04-01,3.24
2011-07-01,3.05
2011-10-01,2.86
2012-01-01,2.74
2012-04-01,2.59
2012-07-01,2.40
2012-10-01,2.27
2013-01-01,2.16
2013-04-01,2.04
2013-07-01,1.91
2013-10-01,1.79
2014-01-01,1.72
2014-04-01,1.62
2014-07-01,1.58
2014-10-01,1.51
2015-01-01,1.46
2015-04-01,1.41
2015-07-01,1.38
2015-10-01,1.35
2016-01-01,1.36
2016-04-01,1.34
2016-07-01,1.33
2016-10-01,1.31
2017-01-01,1.30
2017-04-01,1.28
2017-07-01,1.29
2017-10-01,1.26
2018-01-01,1.25
2018-04-01,1.24
2018-07-01,1.23
2018-10-01,1.22
2019-01-01,1.23
