DATE,USG15NIM
1984-01-01,3.04
1984-04-01,3.06
1984-07-01,3.08
1984-10-01,3.18
1985-01-01,3.38
1985-04-01,3.38
1985-07-01,3.33
1985-10-01,3.35
1986-01-01,3.22
1986-04-01,3.23
1986-07-01,3.22
1986-10-01,3.23
1987-01-01,3.17
1987-04-01,3.05
1987-07-01,3.03
1987-10-01,3.09
1988-01-01,3.13
1988-04-01,3.13
1988-07-01,3.13
1988-10-01,3.43
1989-01-01,3.32
1989-04-01,3.33
1989-07-01,3.2
1989-10-01,3.23
1990-01-01,3.13
1990-04-01,3.12
1990-07-01,3.14
1990-10-01,3.16
1991-01-01,3.35
1991-04-01,3.35
1991-07-01,3.37
1991-10-01,3.41
1992-01-01,3.57
1992-04-01,3.71
1992-07-01,3.71
1992-10-01,3.8
1993-01-01,3.93
1993-04-01,3.87
1993-07-01,3.86
1993-10-01,3.81
1994-01-01,3.98
1994-04-01,3.7
1994-07-01,3.6
1994-10-01,3.6
1995-01-01,3.4
1995-04-01,3.38
1995-07-01,3.42
1995-10-01,3.43
1996-01-01,3.41
1996-04-01,3.61
1996-07-01,3.82
1996-10-01,3.8
1997-01-01,3.5
1997-04-01,3.9
1997-07-01,3.88
1997-10-01,3.83
1998-01-01,3.45
1998-04-01,3.56
1998-07-01,3.51
1998-10-01,3.58
1999-01-01,3.49
1999-04-01,3.51
1999-07-01,3.77
1999-10-01,3.76
2000-01-01,3.53
2000-04-01,3.51
2000-07-01,3.54
2000-10-01,3.54
2001-01-01,3.46
2001-04-01,3.5
2001-07-01,3.53
2001-10-01,3.81
2002-01-01,3.96
2002-04-01,3.99
2002-07-01,3.95
2002-10-01,3.90
2003-01-01,3.63
2003-04-01,3.60
2003-07-01,3.55
2003-10-01,3.59
2004-01-01,3.54
2004-04-01,3.43
2004-07-01,3.27
2004-10-01,3.50
2005-01-01,3.35
2005-04-01,3.41
2005-07-01,3.36
2005-10-01,3.32
2006-01-01,3.21
2006-04-01,3.20
2006-07-01,3.19
2006-10-01,3.25
2007-01-01,3.11
2007-04-01,3.11
2007-07-01,3.18
2007-10-01,3.14
2008-01-01,3.12
2008-04-01,3.15
2008-07-01,3.13
2008-10-01,2.95
2009-01-01,3.18
2009-04-01,3.24
2009-07-01,3.29
2009-10-01,3.42
2010-01-01,3.85
2010-04-01,3.74
2010-07-01,3.69
2010-10-01,3.64
2011-01-01,3.48
2011-04-01,3.44
2011-07-01,3.44
2011-10-01,3.42
2012-01-01,3.33
2012-04-01,3.28
2012-07-01,3.26
2012-10-01,3.24
2013-01-01,3.06
2013-04-01,3.05
2013-07-01,3.04
2013-10-01,3.05
2014-01-01,2.94
2014-04-01,2.93
2014-07-01,2.92
2014-10-01,2.94
2015-01-01,2.78
2015-04-01,2.80
2015-07-01,2.81
2015-10-01,2.85
2016-01-01,2.86
2016-04-01,2.84
2016-07-01,2.87
2016-10-01,2.89
2017-01-01,2.96
2017-04-01,2.98
2017-07-01,3.01
2017-10-01,3.03
2018-01-01,3.10
2018-04-01,3.18
2018-07-01,3.20
2018-10-01,3.23
2019-01-01,3.25
