DATE,USG15NPTL
1984-01-01,3.93
1984-04-01,4.17
1984-07-01,3.83
1984-10-01,3.78
1985-01-01,3.88
1985-04-01,3.94
1985-07-01,3.83
1985-10-01,3.36
1986-01-01,3.49
1986-04-01,3.67
1986-07-01,3.74
1986-10-01,3.55
1987-01-01,6.23
1987-04-01,6.01
1987-07-01,5.95
1987-10-01,5.89
1988-01-01,5.66
1988-04-01,5.49
1988-07-01,5.27
1988-10-01,4.94
1989-01-01,4.92
1989-04-01,4.96
1989-07-01,5.01
1989-10-01,4.61
1990-01-01,4.82
1990-04-01,4.66
1990-07-01,4.74
1990-10-01,5.16
1991-01-01,5.42
1991-04-01,5.43
1991-07-01,5.6
1991-10-01,5.45
1992-01-01,5.45
1992-04-01,5.31
1992-07-01,5.15
1992-10-01,4.75
1993-01-01,4.31
1993-04-01,3.78
1993-07-01,3.3
1993-10-01,2.7
1994-01-01,2.45
1994-04-01,2.03
1994-07-01,1.77
1994-10-01,1.61
1995-01-01,1.66
1995-04-01,1.53
1995-07-01,1.42
1995-10-01,1.31
1996-01-01,1.26
1996-04-01,1.14
1996-07-01,1.09
1996-10-01,0.98
1997-01-01,1.01
1997-04-01,0.93
1997-07-01,0.91
1997-10-01,0.92
1998-01-01,0.97
1998-04-01,0.92
1998-07-01,0.87
1998-10-01,0.93
1999-01-01,0.96
1999-04-01,0.92
1999-07-01,0.98
1999-10-01,0.97
2000-01-01,1.01
2000-04-01,1.04
2000-07-01,1.09
2000-10-01,1.22
2001-01-01,1.34
2001-04-01,1.41
2001-07-01,1.5
2001-10-01,1.61
2002-01-01,1.68
2002-04-01,1.7
2002-07-01,1.73
2002-10-01,1.68
2003-01-01,1.58
2003-04-01,1.47
2003-07-01,1.37
2003-10-01,1.33
2004-01-01,1.18
2004-04-01,1.03
2004-07-01,0.97
2004-10-01,0.93
2005-01-01,0.85
2005-04-01,0.83
2005-07-01,0.80
2005-10-01,0.81
2006-01-01,0.76
2006-04-01,0.74
2006-07-01,0.78
2006-10-01,0.83
2007-01-01,0.85
2007-04-01,0.88
2007-07-01,1.04
2007-10-01,1.38
2008-01-01,1.64
2008-04-01,1.95
2008-07-01,2.34
2008-10-01,3.06
2009-01-01,3.91
2009-04-01,4.61
2009-07-01,5.44
2009-10-01,6.20
2010-01-01,6.13
2010-04-01,5.82
2010-07-01,5.64
2010-10-01,5.35
2011-01-01,5.12
2011-04-01,4.74
2011-07-01,4.65
2011-10-01,4.58
2012-01-01,4.49
2012-04-01,4.29
2012-07-01,4.31
2012-10-01,4.00
2013-01-01,3.77
2013-04-01,3.44
2013-07-01,3.14
2013-10-01,2.92
2014-01-01,2.72
2014-04-01,2.46
2014-07-01,2.32
2014-10-01,2.16
2015-01-01,1.98
2015-04-01,1.83
2015-07-01,1.74
2015-10-01,1.68
2016-01-01,1.71
2016-04-01,1.61
2016-07-01,1.55
2016-10-01,1.51
2017-01-01,1.41
2017-04-01,1.29
2017-07-01,1.25
2017-10-01,1.26
2018-01-01,1.18
2018-04-01,1.08
2018-07-01,1.02
2018-10-01,0.99
2019-01-01,0.99
