DATE,USG15NUM
1984-01-01,17
1984-04-01,17
1984-07-01,17
1984-10-01,17
1985-01-01,17
1985-04-01,17
1985-07-01,17
1985-10-01,17
1986-01-01,20
1986-04-01,19
1986-07-01,19
1986-10-01,18
1987-01-01,18
1987-04-01,18
1987-07-01,19
1987-10-01,19
1988-01-01,22
1988-04-01,22
1988-07-01,22
1988-10-01,23
1989-01-01,24
1989-04-01,23
1989-07-01,23
1989-10-01,22
1990-01-01,25
1990-04-01,28
1990-07-01,27
1990-10-01,27
1991-01-01,27
1991-04-01,27
1991-07-01,27
1991-10-01,27
1992-01-01,26
1992-04-01,25
1992-07-01,26
1992-10-01,27
1993-01-01,32
1993-04-01,32
1993-07-01,32
1993-10-01,31
1994-01-01,32
1994-04-01,33
1994-07-01,34
1994-10-01,35
1995-01-01,37
1995-04-01,38
1995-07-01,37
1995-10-01,37
1996-01-01,39
1996-04-01,38
1996-07-01,38
1996-10-01,40
1997-01-01,42
1997-04-01,42
1997-07-01,42
1997-10-01,44
1998-01-01,48
1998-04-01,47
1998-07-01,48
1998-10-01,50
1999-01-01,55
1999-04-01,55
1999-07-01,54
1999-10-01,53
2000-01-01,54
2000-04-01,57
2000-07-01,55
2000-10-01,56
2001-01-01,58
2001-04-01,60
2001-07-01,59
2001-10-01,60
2002-01-01,62
2002-04-01,60
2002-07-01,61
2002-10-01,62
2003-01-01,62
2003-04-01,61
2003-07-01,61
2003-10-01,58
2004-01-01,61
2004-04-01,61
2004-07-01,61
2004-10-01,58
2005-01-01,59
2005-04-01,56
2005-07-01,56
2005-10-01,57
2006-01-01,59
2006-04-01,59
2006-07-01,56
2006-10-01,53
2007-01-01,54
2007-04-01,55
2007-07-01,53
2007-10-01,53
2008-01-01,54
2008-04-01,54
2008-07-01,55
2008-10-01,56
2009-01-01,55
2009-04-01,56
2009-07-01,55
2009-10-01,54
2010-01-01,54
2010-04-01,54
2010-07-01,54
2010-10-01,55
2011-01-01,60
2011-04-01,60
2011-07-01,57
2011-10-01,57
2012-01-01,60
2012-04-01,61
2012-07-01,61
2012-10-01,61
2013-01-01,61
2013-04-01,62
2013-07-01,62
2013-10-01,63
2014-01-01,68
2014-04-01,69
2014-07-01,69
2014-10-01,68
2015-01-01,75
2015-04-01,75
2015-07-01,74
2015-10-01,74
2016-01-01,76
2016-04-01,77
2016-07-01,76
2016-10-01,75
2017-01-01,77
2017-04-01,77
2017-07-01,78
2017-10-01,81
2018-01-01,85
2018-04-01,86
2018-07-01,86
2018-10-01,87
2019-01-01,92
