DATE,USG15ROE
1984-01-01,10.12
1984-04-01,4.27
1984-07-01,5.96
1984-10-01,6.93
1985-01-01,12.08
1985-04-01,9.61
1985-07-01,10.29
1985-10-01,9.87
1986-01-01,12.56
1986-04-01,8.67
1986-07-01,9.52
1986-10-01,9.85
1987-01-01,9.45
1987-04-01,-48.27
1987-07-01,-28.95
1987-10-01,-20.19
1988-01-01,10.47
1988-04-01,12.83
1988-07-01,20.18
1988-10-01,21.12
1989-01-01,17.32
1989-04-01,18.28
1989-07-01,-1.6
1989-10-01,0.14
1990-01-01,16.13
1990-04-01,13.98
1990-07-01,10.7
1990-10-01,8.64
1991-01-01,9.55
1991-04-01,9.71
1991-07-01,7.24
1991-10-01,5.43
1992-01-01,10.56
1992-04-01,12.49
1992-07-01,12.77
1992-10-01,13.12
1993-01-01,18.81
1993-04-01,16.93
1993-07-01,17.19
1993-10-01,16.73
1994-01-01,14.37
1994-04-01,14.52
1994-07-01,14.5
1994-10-01,14.23
1995-01-01,12.53
1995-04-01,13.5
1995-07-01,15.12
1995-10-01,14.94
1996-01-01,12.27
1996-04-01,15.36
1996-07-01,16.12
1996-10-01,15.67
1997-01-01,16.09
1997-04-01,17.49
1997-07-01,16.74
1997-10-01,16.39
1998-01-01,14.38
1998-04-01,15.11
1998-07-01,13.87
1998-10-01,13.84
1999-01-01,15.12
1999-04-01,14.25
1999-07-01,16.08
1999-10-01,16.2
2000-01-01,17.08
2000-04-01,13.74
2000-07-01,14.37
2000-10-01,14.37
2001-01-01,15.58
2001-04-01,15.09
2001-07-01,14.37
2001-10-01,14.47
2002-01-01,15.34
2002-04-01,16.37
2002-07-01,15.97
2002-10-01,15.35
2003-01-01,16.41
2003-04-01,16.26
2003-07-01,16.29
2003-10-01,16.52
2004-01-01,16.66
2004-04-01,15.55
2004-07-01,14.42
2004-10-01,14.73
2005-01-01,13.82
2005-04-01,14.11
2005-07-01,13.78
2005-10-01,13.30
2006-01-01,13.88
2006-04-01,13.75
2006-07-01,13.63
2006-10-01,13.79
2007-01-01,12.43
2007-04-01,12.51
2007-07-01,12.02
2007-10-01,9.22
2008-01-01,6.47
2008-04-01,5.03
2008-07-01,4.55
2008-10-01,2.00
2009-01-01,3.29
2009-04-01,1.65
2009-07-01,1.80
2009-10-01,-0.32
2010-01-01,5.55
2010-04-01,6.13
2010-07-01,6.50
2010-10-01,6.70
2011-01-01,8.34
2011-04-01,8.01
2011-07-01,8.83
2011-10-01,8.38
2012-01-01,8.97
2012-04-01,8.52
2012-07-01,8.84
2012-10-01,8.80
2013-01-01,10.29
2013-04-01,9.86
2013-07-01,9.45
2013-10-01,9.56
2014-01-01,8.87
2014-04-01,9.17
2014-07-01,8.98
2014-10-01,8.83
2015-01-01,8.97
2015-04-01,9.26
2015-07-01,9.17
2015-10-01,9.11
2016-01-01,8.12
2016-04-01,8.60
2016-07-01,8.90
2016-10-01,9.01
2017-01-01,9.08
2017-04-01,9.44
2017-07-01,9.50
2017-10-01,8.25
2018-01-01,11.26
2018-04-01,12.03
2018-07-01,12.22
2018-10-01,12.12
2019-01-01,12.10
