DATE,USNUM
1984-01-01,14400
1984-04-01,14383
1984-07-01,14389
1984-10-01,14391
1985-01-01,14381
1985-04-01,14358
1985-07-01,14344
1985-10-01,14280
1986-01-01,14252
1986-04-01,14182
1986-07-01,14177
1986-10-01,14070
1987-01-01,13949
1987-04-01,13822
1987-07-01,13723
1987-10-01,13558
1988-01-01,13401
1988-04-01,13270
1988-07-01,13099
1988-10-01,12989
1989-01-01,12870
1989-04-01,12815
1989-07-01,12695
1989-10-01,12578
1990-01-01,12464
1990-04-01,12375
1990-07-01,12286
1990-10-01,12219
1991-01-01,12124
1991-04-01,12034
1991-07-01,11952
1991-10-01,11812
1992-01-01,11700
1992-04-01,11581
1992-07-01,11491
1992-10-01,11366
1993-01-01,11239
1993-04-01,11115
1993-07-01,10996
1993-10-01,10883
1994-01-01,10767
1994-04-01,10646
1994-07-01,10521
1994-10-01,10381
1995-01-01,10175
1995-04-01,10103
1995-07-01,9985
1995-10-01,9875
1996-01-01,9773
1996-04-01,9623
1996-07-01,9522
1996-10-01,9465
1997-01-01,9391
1997-04-01,9249
1997-07-01,9155
1997-10-01,9082
1998-01-01,8962
1998-04-01,8924
1998-07-01,8851
1998-10-01,8715
1999-01-01,8664
1999-04-01,8620
1999-07-01,8566
1999-10-01,8522
2000-01-01,8458
2000-04-01,8416
2000-07-01,8314
2000-10-01,8255
2001-01-01,8177
2001-04-01,8116
2001-07-01,8090
2001-10-01,8023
2002-01-01,7949
2002-04-01,7911
2002-07-01,7876
2002-10-01,7833
2003-01-01,7811
2003-04-01,7779
2003-07-01,7755
2003-10-01,7713
2004-01-01,7656
2004-04-01,7638
2004-07-01,7595
2004-10-01,7567
2005-01-01,7535
2005-04-01,7485
2005-07-01,7475
2005-10-01,7459
2006-01-01,7422
2006-04-01,7410
2006-07-01,7381
2006-10-01,7335
2007-01-01,7314
2007-04-01,7281
2007-07-01,7239
2007-10-01,7219
2008-01-01,7175
2008-04-01,7137
2008-07-01,7080
2008-10-01,7022
2009-01-01,6978
2009-04-01,6938
2009-07-01,6855
2009-10-01,6785
2010-01-01,6719
2010-04-01,6623
2010-07-01,6570
2010-10-01,6478
2011-01-01,6402
2011-04-01,6359
2011-07-01,6297
2011-10-01,6238
2012-01-01,6208
2012-04-01,6164
2012-07-01,6110
2012-10-01,6036
2013-01-01,5984
2013-04-01,5917
2013-07-01,5874
2013-10-01,5815
2014-01-01,5743
2014-04-01,5694
2014-07-01,5637
2014-10-01,5573
2015-01-01,5502
2015-04-01,5441
2015-07-01,5381
2015-10-01,5309
2016-01-01,5260
2016-04-01,5210
2016-07-01,5141
2016-10-01,5083
2017-01-01,5033
2017-04-01,4982
2017-07-01,4942
2017-10-01,4889
2018-01-01,4852
2018-04-01,4806
2018-07-01,4746
2018-10-01,4687
2019-01-01,4652
