DATE,USROA
1984-01-01,0.73
1984-04-01,0.65
1984-07-01,0.68
1984-10-01,0.65
1985-01-01,0.77
1985-04-01,0.76
1985-07-01,0.77
1985-10-01,0.71
1986-01-01,0.75
1986-04-01,0.68
1986-07-01,0.69
1986-10-01,0.64
1987-01-01,0.73
1987-04-01,-0.37
1987-07-01,0.02
1987-10-01,0.09
1988-01-01,0.66
1988-04-01,0.69
1988-07-01,0.83
1988-10-01,0.83
1989-01-01,0.94
1989-04-01,0.92
1989-07-01,0.58
1989-10-01,0.50
1990-01-01,0.75
1990-04-01,0.69
1990-07-01,0.59
1990-10-01,0.47
1991-01-01,0.66
1991-04-01,0.61
1991-07-01,0.59
1991-10-01,0.54
1992-01-01,0.87
1992-04-01,0.93
1992-07-01,0.96
1992-10-01,0.95
1993-01-01,1.24
1993-04-01,1.21
1993-07-01,1.24
1993-10-01,1.22
1994-01-01,1.17
1994-04-01,1.18
1994-07-01,1.19
1994-10-01,1.17
1995-01-01,1.11
1995-04-01,1.14
1995-07-01,1.21
1995-10-01,1.2
1996-01-01,1.12
1996-04-01,1.21
1996-07-01,1.24
1996-10-01,1.25
1997-01-01,1.27
1997-04-01,1.31
1997-07-01,1.3
1997-10-01,1.3
1998-01-01,1.26
1998-04-01,1.27
1998-07-01,1.24
1998-10-01,1.23
1999-01-01,1.33
1999-04-01,1.29
1999-07-01,1.38
1999-10-01,1.36
2000-01-01,1.35
2000-04-01,1.17
2000-07-01,1.22
2000-10-01,1.21
2001-01-01,1.28
2001-04-01,1.24
2001-07-01,1.2
2001-10-01,1.21
2002-01-01,1.33
2002-04-01,1.39
2002-07-01,1.39
2002-10-01,1.35
2003-01-01,1.41
2003-04-01,1.40
2003-07-01,1.39
2003-10-01,1.41
2004-01-01,1.41
2004-04-01,1.35
2004-07-01,1.30
2004-10-01,1.33
2005-01-01,1.36
2005-04-01,1.34
2005-07-01,1.34
2005-10-01,1.30
2006-01-01,1.35
2006-04-01,1.35
2006-07-01,1.35
2006-10-01,1.34
2007-01-01,1.24
2007-04-01,1.23
2007-07-01,1.17
2007-10-01,0.94
2008-01-01,0.68
2008-04-01,0.52
2008-07-01,0.45
2008-10-01,0.16
2009-01-01,0.22
2009-04-01,0.05
2009-07-01,0.08
2009-10-01,-0.10
2010-01-01,0.49
2010-04-01,0.57
2010-07-01,0.62
2010-10-01,0.63
2011-01-01,0.87
2011-04-01,0.85
2011-07-01,0.93
2011-10-01,0.88
2012-01-01,0.99
2012-04-01,0.98
2012-07-01,1.00
2012-10-01,0.99
2013-01-01,1.12
2013-04-01,1.09
2013-07-01,1.05
2013-10-01,1.06
2014-01-01,0.99
2014-04-01,1.02
2014-07-01,1.01
2014-10-01,1.00
2015-01-01,1.00
2015-04-01,1.04
2015-07-01,1.03
2015-10-01,1.03
2016-01-01,0.94
2016-04-01,0.99
2016-07-01,1.02
2016-10-01,1.02
2017-01-01,1.02
2017-04-01,1.07
2017-07-01,1.08
2017-10-01,0.94
2018-01-01,1.26
2018-04-01,1.34
2018-07-01,1.36
2018-10-01,1.35
2019-01-01,1.35
