DATE,USTAST
1984-01-01,2355427463
1984-04-01,2409601228
1984-07-01,2414876927
1984-10-01,2513183886
1985-01-01,2509232553
1985-04-01,2574872958
1985-07-01,2631498928
1985-10-01,2732032933
1986-01-01,2731689649
1986-04-01,2775412637
1986-07-01,2803086862
1986-10-01,2940335880
1987-01-01,2900733538
1987-04-01,2912238153
1987-07-01,2943944745
1987-10-01,3001085160
1988-01-01,3017349954
1988-04-01,3055342894
1988-07-01,3094217906
1988-10-01,3131828452
1989-01-01,3149435008
1989-04-01,3205833510
1989-07-01,3221738647
1989-10-01,3297186891
1990-01-01,3315542264
1990-04-01,3358179161
1990-07-01,3384710295
1990-10-01,3389131679
1991-01-01,3350793659
1991-04-01,3377143121
1991-07-01,3428425165
1991-10-01,3425607859
1992-01-01,3430804931
1992-04-01,3433338713
1992-07-01,3476920079
1992-10-01,3501807936
1993-01-01,3510022738
1993-04-01,3565552193
1993-07-01,3621393583
1993-10-01,3695874986
1994-01-01,3832773795
1994-04-01,3881850848
1994-07-01,3911690766
1994-10-01,3997839662
1995-01-01,4103279703
1995-04-01,4159836304
1995-07-01,4218170534
1995-10-01,4302324003
1996-01-01,4297749783
1996-04-01,4385995817
1996-07-01,4438469824
1996-10-01,4558073406
1997-01-01,4620784351
1997-04-01,4749896054
1997-07-01,4849935107
1997-10-01,4993324937
1998-01-01,5087287502
1998-04-01,5160114065
1998-07-01,5244958968
1998-10-01,5412475303
1999-01-01,5381919392
1999-04-01,5437446103
1999-07-01,5475753314
1999-10-01,5691282361
2000-01-01,5795275478
2000-04-01,5927111389
2000-07-01,5992496639
2000-10-01,6154479850
2001-01-01,6217827658
2001-04-01,6254477878
2001-07-01,6447061115
2001-10-01,6438121143
2002-01-01,6377081804
2002-04-01,6624057294
2002-07-01,6819136603
2002-10-01,6955414205
2003-01-01,7083379294
2003-04-01,7372068936
2003-07-01,7351671043
2003-10-01,7469598515
2004-01-01,7681878264
2004-04-01,7918403981
2004-07-01,8112669146
2004-10-01,8272250912
2005-01-01,8452101269
2005-04-01,8581984545
2005-07-01,8761298679
2005-10-01,8888063886
2006-01-01,9176445143
2006-04-01,9441876361
2006-07-01,9582297138
2006-10-01,9876469014
2007-01-01,9915142967
2007-04-01,10181846111
2007-07-01,10536764427
2007-10-01,10909421132
2008-01-01,11227910492
2008-04-01,11157551008
2008-07-01,11813437609
2008-10-01,12120765088
2009-01-01,11809002208
2009-04-01,11692409560
2009-07-01,11732228474
2009-10-01,11693295857
2010-01-01,11934005731
2010-04-01,11813668733
2010-07-01,11984254473
2010-10-01,11927956496
2011-01-01,12023721088
2011-04-01,12232571549
2011-07-01,12421734796
2011-10-01,12500222810
2012-01-01,12631500857
2012-04-01,12730653936
2012-07-01,12909470753
2012-10-01,13219079198
2013-01-01,13191559165
2013-04-01,13180308621
2013-07-01,13374358549
2013-10-01,13525202927
2014-01-01,13708580373
2014-04-01,13967935563
2014-07-01,14136929460
2014-10-01,14321445021
2015-01-01,14566092041
2015-04-01,14530916533
2015-07-01,14575346308
2015-10-01,14731777244
2016-01-01,15038044264
2016-04-01,15278640276
2016-07-01,15484786027
2016-10-01,15473137616
2017-01-01,15638613631
2017-04-01,15739705756
2017-07-01,15902768562
2017-10-01,16035845919
2018-01-01,16147089295
2018-04-01,16240091829
2018-07-01,16350523149
2018-10-01,16591224858
2019-01-01,16769527586
